,title,description
70428,Valley of the Sasquatch,"A father, his son and two old friends arrive at an isolated family cabin for a weekend of hunting. A trip deep into the forest looking for wild game uncovers a tribe of Sasquatch that are determined to protect their land."
70429,Poltergeist Activity,A father and daughter encounter unexplainable occurrences and frightening visions in their new home.
70432,Naprata,"Inspired by an infamous online video clip of a son beating his mother, a television crew from Belgrade comes to a remote Serbian village to shoot a report on violence against women. ..."
70435,Another,"A beautiful young woman is driven into a dark underworld of demonic possession, desire, and extreme indulgences when she learns she may be the devil's kin."
70437,Gingerdead Man vs. Evil Bong,The Gingerdead Man seeks revenge against Sarah Leigh for causing him to live his life in the body of a gingerbread man. Her only hope is to team up with Larnell who has problems of his own in the form of a magical talking bong named Eebee.
70442,It Follows,A young woman is followed by an unknown supernatural force after a sexual encounter.
70445,Apocalyptic,"While investigating the legend of a mysterious group of religious people living in the forest, a local news crew becomes trapped in the grasp of a doomsday cult, who are about to execute their final act of devotion and biblical punishment."
70447,Medusa,A dedicated mythology professor finds an evil witch doctor who summons the spirit of the gorgon Medusa.
70448,Dark Forest,A weekend camping trip turns into a fight for survival.
70451,Ibiza Undead,"A group of young people head to Ibiza for the holiday of a lifetime - all the sun, sea, and sex, they can handle. If only there wasn't a zombie outbreak getting in the way."
70461,The Redwood Massacre,"What begins as a exciting camping trip to the legendary Redwood murder site, takes a terrifying turn when the innocent campers discover the legend is about to become a nasty and bloody reality."
70466,Shock Value,Struggling 'B' movie Director blackmails a serial killer to be the star of his next film.
70474,Hangar 10,"33 years after the infamous Rendlesham Forest UFO incident, three metal detector enthusiasts hunting for Saxon gold in the same region, capture incredible footage of UFO's whilst filming ..."
70476,Primal Shift,"A naïve and socially repressed June hits the road with her new boyfriend, Max, on their first romantic trip down the coast. When a hitchhiker suddenly winds up dead in their RV, June can't deny the overwhelming thrill and lust for blood."
70485,Hitchhiker Massacre,Beautiful young Hitchhikers are being slaughtered on the desert highways by a cannibalistic madman. Sally is trying to make her way back home when she's picked up by the killer - can she ...
70515,Mahi va gorbeh,A number of students have traveled to the Caspian region in order to participate in a kite-flying event during the winter solstice. Next to their camp is a small hut occupied by three cooks who work at a nearby restaurant.
70527,Jue min hang ban,Disaster waits for those traveling on the last red-eye flight from a secluded Pacific island. The captain and chief flight attendant fight to save passengers from the otherworldly storm of chaos and paranoia aboard their doomed aircraft.
70549,The Jokesters,Four friends prank a Cabin in the Woods nightmare on their friend's honeymoon so well that it actually becomes The Cabin in the Woods horror in real life.
70550,Bloody Knuckles,"Travis is an underground comic book artist with a penchant for the obscene. When one of his comics insults a Chinatown crime boss, the gangster punishes Travis by removing his drawing hand...."
70558,All the Devils Are Here,"Five college students on a backwoods excursion encounter a deadly, nocturnal presence. As horrific events unfold, the group joins forces with a town local and a prison escapee and attempt to survive the night."
70566,A Haunting in Cawdor,"While serving her prison sentence, a woman discovers a horrifying VHS tape with footage from a crime committed years prior."
70586,The Devil Complex,"Rachel and her team of film makers travel to Transylvania, Romania, to document the paranormal phenomena within Hoia-Baciu Forest."
70594,Il racconto dei racconti,"From the bitter quest of the Queen of Longtrellis, to two mysterious sisters who provoke the passion of a king, to the King of Highhills obsessed with a giant Flea, these tales are inspired by the fairytales by Giambattista Basile."
70597,The Triangle,Four filmmakers take their cameras into the Montana wilderness to document the mysterious inner workings of a young community with a giant secret.
70598,Suburban Gothic,"City-boy Raymond returns to his hometown and finds a vengeful ghost is terrorizing his house. Therefore, this man-child recruits Becca, a badass local bartender, to solve the mystery of the spirit threatening people's lives."
70600,In the Trap - Nella trappola,"Philip, a solitary proof reader, is trapped in his apartment, too afraid to leave and tortured by an unknown evil force that has kept him prisoner for the last two years."
70601,Il culto di Chucky,"Chucky returns to terrorize his human victim, Nica. Meanwhile, the killer doll has some scores to settle with his old enemies, with the help of his former wife."
70605,The Atticus Institute,The story of a 1970's psychology lab in Pennsylvania where a case of demonic possession took place.
70608,Amigo Undead,"Amigo Undead is the story of Kevin Ostrowski as he attempts to reconcile with his estranged, underachieving brother Norm on a camping trip. They're accompanied by several of Norm's unusual ..."
70619,My Bloody Banjo,A young man becomes manipulated by his imaginary friend to exact revenge on his tormenting co-workers.
70629,February: L'innocenza del male,Two girls must battle a mysterious evil force when they get left behind at their boarding school over winter break.
70634,Feed the Devil,A hunt for easy money turns into a deadly search for a missing loved one as outsiders confront the evil forces behind a native American myth.
70635,Asylum of Fear,"A team of paranormal investigators are hired to inspect a mental institution after two police officers are mysteriously murdered, they discover horrifying clues that reveal the cause of a violent massacre by an insane doctor in the 1960's."
70642,Autopsy,"A father and son, both coroners, are pulled into a complex mystery while attempting to identify the body of a young woman, who was apparently harboring dark secrets."
70652,X Moor,"A £25,000 reward offered by a local newspaper brings documentary makers Matt and his girlfriend Georgia to the remote North Devon moor in a bid to capture the fabled Beast purported to be a wild cat, like a panther or a puma on film."
70656,The Man in the Trunk,"A late night knock at the door from an absent friend brings the question - ""I need you to come with me, but I can't tell you where we're going or what we're going to do."" How far would you go to help those you care about?"
70660,Director's Cut,Herbert Blount aspires to replace the real director of a movie and make it his own by capturing the lead actress and inflicting much horror upon her in his version.
70663,Frankenstein vs. the Mummy,"The mummy of a cursed pharaoh and a reanimated corpse terrorize a medical university. Only an Egyptologist and a college professor, the deranged Dr. Frankenstein, may be able to stop the creatures before it's too late."
70675,The Before Time,"When two rival crews head into the desert to shoot a reality show based on a buried Navajo treasure, they discover that truth is not only stranger than fiction, it's more dangerous. ..."
70677,The Sleeping Room,A psychological gothic tale of Victorian revenge.
70681,Haunted House on Sorority Row,A fledging sorority moves into a dilapidated house only to find something evil is lurking in the shadows. Is it an elaborate hazing ritual? Or is something sinister - something paranormal - behind the mental and physical assault?
70690,Neverlake,"On a trip home to Italy to visit her father, Jenny is thrown into a world of mystery, horror and legend as she is compelled to discover the truth behind all his secrets and lies."
70704,Strange Blood,"When a brilliant but obsessive scientist goes to extremes to develop a universal cure for all disease, he finds himself infected with a bizarre parasite that begins to transform him into a ..."
70706,The Hollow One,"While searching for her missing father, an emotionally damaged woman confronts her tragic past and a shadowy figure with sinister intentions."
70709,Piccoli demoni,A teenager must survive a Halloween night from Hell when malevolent trick-or-treaters come knocking at her door.
70714,Deeper,A journalist is caught up in a woman's brutal revenge against two men who mistreated her in the past.
70721,The Lotus,"In the not so distant future, biochemical technology has advanced in unexpected ways. Unfortunately, it has fallen into the hands of the wrong man, a brilliant young biochemist by the name ..."
70722,Be Afraid,"Not long after John Chambers and his family arrive at their new home in a small country town of Pennsylvania, John begins to experience sleep paralysis. Lying there paralyzed, trapped ..."
70726,The Confines,"Take a terrifying plunge into the warped mind of a disturbed young woman. Desperate to get her life back on track, the unstable Streak takes a job as a security guard, working the graveyard..."
70745,Night of Something Strange,"Teenage friends out for beach week get unexpectedly detoured to a isolated motel where a deadly STD virus now runs rampant, turning those infected into the living dead."
70754,Beckoning the Butcher,"When Chris Shaw takes his friends out to an isolated house to make a web video, they summon an evil spirit and must fight for survival once it begins to hunt them down."
70755,Charlie's Farm,"In an effort to do something different, four friends head into Australia's outback to explore Charlie's Farm, the site where a violent family met their end at the hands of an angry mob. ..."
70759,A Film by Aravind,Best friends since childhood Aravind and Rishi struggled for film industry fame before Aravind's films with Rishi as hero become successful. They plan to go on a road trip to search for ...
70763,The Axe Murders of Villisca,"'The Axe Murders of Villisca' is a ghost story based on the house where the notorious and still unsolved 1912 axe murders took place. Three outcast teenagers break into the house in search of answers, but discover something far beyond their worst fears."
70773,XX - Donne da morire,Four short horror films that are directed and written by women.
70775,Annabelle,A couple begins to experience terrifying supernatural occurrences involving a vintage doll shortly after their home is invaded by satanic cultists.
70777,Bunni,"Following a Halloween party, an attractive girl and her friends must fight to escape the nightmarish dwelling of a twisted killer with a dark secret."
70778,The Night Crew,"A group of hard-up bounty hunters must survive the night in a desert motel against a horde of savage cartel killers as they realize their fugitive, a mysterious Chinese woman, is much more than she lets on."
70790,Infini,"An elite 'search and rescue' team transport onto an off-world mining-facility to rescue Whit Carmichael, the lone survivor of a biological outbreak."
70791,Residue,The government cover-up of the causes behind a massive explosion in a futuristic UK metropolis spur photo journalist Jennifer Preston on to search for the truth and in the process blow open a paranormal phenomenon haunting the city.
70796,The Haunting of Baylock Residence,"Patricia Woodhouse receives a letter explaining that her older sister has passed away, Patricia discovers that her sisters house has been left to her in the will. Almost immediately ..."
70798,Pizza II: Villa,A writer moves into a mansion and things begin to go bump in the night.
70805,The Neighbor,"Set in Cutter Mississippi, the film follows a man who discovers the dark truth about his neighbor and the secrets he may be keeping in the cellar."
70812,Apocalypse,"While a virus that causes the dead to reanimate brings the world to its knees, the scientist responsible entrusts his cataclysmic findings to Katya Nevin, a troubled ex-war correspondent ..."
70817,Antibirth,"In a desolate community full of drug-addled Marines and rumors of kidnapping, a wild-eyed stoner named Lou wakes up after a wild night of partying with symptoms of a strange illness and ..."
70818,Lyle,A mother's grief over the death of her toddler leads to horror.
70824,Living Among Us,"Vampires have just made themselves public. Now a group of documentarians have been granted access to learn how they live and coexist with humans. But as reality sets in, the crew realize their very lives are in danger."
70832,Berlin Syndrome - In Ostaggio,"A passionate holiday romance leads to an obsessive relationship, when an Australian photojournalist wakes one morning in a Berlin apartment and is unable to leave."
70845,Chop Shop,"""Skeletons in the Closet"" is the titular late-night, horror anthology television series featuring The Widow and her dead husband, Charlie."
70848,Burying the Ex,A guy's regrets over moving in with his girlfriend are compounded when she dies and comes back as a zombie.
70858,Voodoo Possession,"Imagine an insatiable demon that feeds on blood, thrives on pain, and reaches from beyond the grave to torment the living...and the dead. For believers and skeptics alike, there is nothing ..."
70863,Sleeping Beauty,"When a young Prince and his trusted aid learn of a beautiful Princess's cursed eternal slumber, they embark on a journey to rescue her. They must battle an evil queen and legions of undead monsters before she will be free."
70873,Ti sam khuen sam 3D,'The Third Night' follows a series of events that occur after a motorcycle gang leader by the name of Rang dies. 'The Convent' is about an all-girl convent school where occasionally the ...
70874,Kiseijuu,"The humanity is suffering from murders all over the globe, called ""Mincemeat murders"". High school student, Izumi Shinichi has a parasite living off him, having replaced his right hand, and he might be the discoverer of truth."
70875,Kiseijuu: Kanketsuhen,"Humanity is under attack by human-mimicking flesh-eating alien parasites. One parasite bonds with his young high school student host, and he convinces the parasite to help him stop the others."
70885,Saw: Legacy,"Bodies are turning up around the city, each having met a uniquely gruesome demise. As the investigation proceeds, evidence points to one suspect: John Kramer, the man known as Jigsaw, who has been dead for over 10 years."
70887,Ghosting,The son of a schizophrenic mother and abusive father must unravel the mystery of his frightening visions before he succumbs to madness.
70889,Bloody Slumber Party,"After Kelly broke up with Rick, her abusive boyfriend, her friends had a slumber party to cheer her up. As they are telling horror stories, there is a killer in the house coming for them."
70891,Starve,"While researching an urban legend on feral children, three friends find themselves trapped in an abandoned high school, where they are confronted with an evil more sinister than the legend itself."
70892,VooDoo,"When Dani, an innocent southern girl, vacations to Los Angeles to evade her increasingly complicated life, she learns that escaping her past isn't as easy as she hoped."
70897,Friend Request - La morte ha il tuo profilo,"When a college student unfriends a mysterious girl online, she finds herself fighting a demonic presence that wants to make her lonely by killing her closest friends."
70900,Animus: The Tell-Tale Heart,Edgar Allan Poe's macabre masterpiece of murder and madness re-imagined as a modern day revenge thriller.
70903,As the Gods Will,"A group of high school students are forced to play a game of death without knowing who, why or how."
70912,Nightmare 2 - painajainen jatkuu,A group of teenagers party on an island where a killer also resides.
70920,Crushed,A young woman returns home to her family vineyard after her father dies in an accident on the winery. But when his death is ruled a murder and her mother becomes the prime suspect she must uncover the truth.
70925,Necrofobia,"Dante is a tailor who after losing his twin brother to death became phobic which prevents him from being in contact with death. Whenever he is in front of a dead body, he experiences a creepy feeling that makes him lose his mind."
70926,Potent Media's Sugar Skull Girls,Three demonic sisters who resemble neo-goth voodoo dolls are accidentally conjured from the other side during a failed attempt to raise a little girl from the dead. With impeccable fashion ...
70927,Werewolf Rising,Emma is a country girl who left for the big city only to return years later with big problems. And when she returns to her childhood home deep in the Arkansas mountains for some well needed...
70932,Kruel,'Kruel' - is a horror/thriller feature length movie about a psychotic killer who masquerades as an ice cream man in order to get closer to the objects of his affection.
70933,México Bárbaro,Eight Mexican directors unite to bring tales of the most brutally terrifying Mexican traditions and legends to vividly shocking life.
70938,Antisocial Behavior,"In this gripping tale of terror, twenty something Joe must reach into his forgotten past and face the demon within."
70941,Golpo Holeo Shotti,"The film is about Rudra (Soham), a pizza delivery boy and a ghost novel writer Anuradha (Mimi). The film starts with their love story. The lovebirds are in a live-in relationship. The film ..."
70943,Caedes,Dan and his three friends ( ex - soldiers ) go camping in a forestglade. After a wild night of drinking it comes to a rude awakening ! Panic and hysteria spreading. A young woman is just ...
70945,A Perfect Vacation,A random group of people wake up on an Island where they are being hunted down.
70952,Killer Rack,"Comedy about a woman suffering from low self esteem who gets breast enhancement surgery, unaware that her surgeon worships H.P. Lovecraft's elder gods, and the surgery is part of a diabolical plot to rule the world."
70954,The Burning Dead,A sheriff must rescue an estranged family from a mountain during a volcano eruption and fight off a horde of lava-filled zombies brought to life by a curse.
70957,Camp Death III in 2D!,'Camp Death III in 2D' is a very stupid comedy/horror parody of the 'Friday the 13th' series and is proudly presented in two dimensions.
70961,Purgatorio,"Marta settles into his new apartment with his partner. But that night is bound to be alone. The building is newly built and have barely begun to change the first neighbors. All is silent, empty - until someone knocks the door violently."
70963,Bunny the Killer Thing,"A group of Finnish and British people get stuck at a cabin when they are attacked by a creature that is a half human, half rabbit."
70968,666: Kreepy Kerry,A new student is finding it difficult to contain his supernatural powers on a group of bullies.
70973,June,JUNE is a 9-year-old orphan girl who shares her body with an ancient supernatural being whose mission is to destroy mankind to allow nature to prevail on earth.
70974,Buddy Hutchins,"Buddy Hutchins is just a regular guy doing his best to support a wife and two kids. A recovering alcoholic, Buddy hasn't had a drink for the better part of a year, but it turns out the only..."
70977,Legend,"When Zoe inherits the magical protection of a bewitched Gnome, she quickly realizes that he isn't your garden variety gnome, when he begins eliminating her enemies in extravagant displays of revenge."
70982,Otel mertvetsov,"Yong man named Sergey went to probation in the Izmailovo-Gamma hotel. He also recording his work on camera. Suddenly, ancient ghosts and spirits have begun the hunter for him."
70983,The Mummy Resurrected,"A team of archaeologists discover an ancient mummy, unleashing a deadly curse from its eternal tomb."
70985,Fire City: End of Days,"Vine, a disillusioned demon, secretly lives with others of his kind in the world of humans sustained by their misery. Forced into a choice to save his brethren or an innocent human girl, ..."
70989,Worry Dolls,"In the aftermath of the hunt for a serial killer, an ancient curse consumes a city, causing a series of brutal murders and pitting a detective against the clock to save his daughter's life."
70999,The Blackburn Asylum,A forest fire and rock-slide trap five bickering college friends in a small Alaskan ghost town with a horrifying history. When they seek refuge inside the torched ruins of Blackburn Asylum they must fight its angry inhabitants to survive.
71002,Scary Stories to Tell in the Dark,"On Halloween 1968, Stella and her two friends meet a mysterious drifter, Ramón, and uncover a sinister notebook of stories."
71003,Jukai - La foresta dei suicidi,"A woman goes into Japan's Suicide Forest to find her twin sister, and confronts supernatural terror."
71004,The Taking,"An elderly woman battling Alzheimer's disease agrees to let a film crew document her condition, but what they discover is something far more sinister going on."
71007,The Barn,"Its Halloween 1989, best friends Sam and Josh are trying to enjoy what's left of their final Devil's Night before graduating high school. But trouble arises when the two pals and a group of..."
71015,Night of the Living Dead,During a visit to see their wife and mother's grave. Jerry and his daughters Melanie and Barbra are going to experience a night they will never forget.
71020,6-5=2,Six friends plan for a trek to an undisclosed mountain in Western ghats.
71024,Spring,"A young man in a personal tailspin flees from US to Italy, where he sparks up a romance with a woman harboring a dark, primordial secret."
71026,Sun Choke,Janie's just trying to get well.
71038,Lost After Dark,"In this clever homage to '80s slasher films, a group of teenagers looking to party get stranded when their ride breaks down and end up being stalked by a cannibalistic killer."
71041,Harbinger Down - Terrore tra i ghiacci,"While studying the effects of global warming on a pod of whales, grad students on a crabbing vessel and its crew uncover frozen Soviet space shuttle and unintentionally release a monstrous organism from it."
71043,Prom Ride,"It's the end of the school year for a group of high school friends. Their senior prom was to be a night of elegance, rejoicing and celebrating, but when a psychotic killer hijacks their ..."
71049,German Angst,"Three German tales of love, sex and death in Berlin from Germany's most shocking directors."
71050,Hotel Inferno,"Assigned the easy task of assassinating a couple in a hotel room, instead, a hardened contract killer finds himself fighting for his life in a maze-like place crammed with demonic henchmen. Can he escape from the nightmarish Hotel Inferno?"
71061,The Sand,"After an all-night graduation beach party, a group of hung-over twenty-somethings awake to a beating sun, and a seemingly carnivorous beach that devours anything with a heartbeat that touches the sand."
71065,The Shelter,A homeless man named Thomas (Michael Pare) finds shelter for the night within a lavish abandoned two-story house. He eventually discovers that he is not alone and the premises won't let him leave.
71072,The Chair,The line between good and evil becomes blurred as a death row inmate fights to maintain his sanity and escape the clutches of a deranged Warden and his sadistic guards. Based on the comic book mini-series from Alterna Comics.
71073,Der Vampir auf der Couch,Sigmund Freud's newest patient is a vampire fed up with his undying relationship with his wife.
71083,Avunu,"The spirit of a serial rapist who's body is chopped into tiny pieces, mixed into concrete that's used to build a house, haunts it and terrorises the newly weds who move in there."
71084,The Demolisher,"Bruce (Ry Barrett) is an ordinary repairman tormented by a crippling sense of responsibility for his disabled wife Samantha, an ex-policewoman (Tianna Nori), the survivor of a gang-related ..."
71104,Dismembering Christmas,"At a vacation winter lake house, seven high school seniors are attacked by a madman out for revenge."
71107,O'Hellige Jul!,"We follow a serial killer and his victims as they all prepare for Christmas in their own ways. This year it doesn't matter if you have been naughty or nice, Santa is coming to town no matter what, and he knows where you live."
71123,Rabbit,"After a vivid dream, Maude Ashton returns to Adelaide, certain she now knows the whereabouts of her missing twin sister."
71132,Vita da vampiro - What We Do in the Shadows,"Viago, Deacon and Vladislav are vampires who are finding that modern life has them struggling with the mundane - like paying rent, keeping up with the chore wheel, trying to get into nightclubs and overcoming flatmate conflicts."
71139,Musarañas,1950s Madrid: The agoraphobic Montse raised her now 18 y.o. kid sister. The upstairs neighbor falls down the stairs and breaks a leg. The crazy Montse takes him in.
71141,A Place in Hell,Inspired by a real serial killer: A disgraced detective on the trail of a serial killer and a group of student filmmakers cross paths at a Halloween fright farm in the dead of winter.
71144,Brackenmore,"The close-knit community of Brackenmore is harboring a secret. After the untimely death of an uncle she never knew she had, Kate (Sophie Hopkins) is forced to return to her ancestral home, ..."
71150,La casa dell'esorcismo,In this re-edit of
71156,Land of Smiles,An American tourist unknowingly becomes an object of obsession as she searches for her kidnapped best friend in Thailand.
71166,La Cara del Diablo,"Seven friends go on a remote jungle vacation where they are terrorized by a primeval spirit, but as they struggle to survive they come to realize that they brought the evil with them."
71177,Havenhurst,A troubled young woman takes up residence in a gothic apartment building where she must confront a terrifying evil.
71205,Interior,One man alone inside a haunted house over the course of one night. What starts as a simple paranormal investigation inside a mundane home soon becomes a terrifying experience through the unknown and beyond.
71206,Goddess of Love,A mentally unstable woman begins a volatile descent into madness when she suspects her lover has left her for another woman.
71217,Maldito Amor,"This story involves prom night, high school unrequited love, love triangles, and mysterious murders."
71223,L.A. Zombie - L'ultima apocalisse,"After a meteor shower strikes Los Angeles, toxic smoke is released across the city causing people to physically change and become violent. A small group of survivors plans to vacate the city by heading to the coast."
71231,Lock In,"Locked in an office block with a sadistic clown, the staff must work together to survive the night."
71234,Before Someone Gets Hurt,"Tim and his team are the rising stars of the ghost hunting game. One thing they all like better than a good haunt is a great prank. When the team arrives at a new investigation, they cannot..."
71236,Investigation 13,"A group of college science students investigate the urban legend of The Mole Man, an ex-patient said to still be residing within the walls of the Black Grove Asylum and the cause of the disappearances of those who enter."
71239,Boys in the Trees,"On Halloween 1997, two estranged teen skaters embark on a surreal journey through their memories, dreams and fears."
71250,Dorchester's Revenge: The Return of Crinoline Head,"A group of college students researching Dorchester Stewart, better known as the infamous killer Crinoline Head, return to the scene of the horrific murders that happened in 1996."
71252,Found Footage 3D,"A group of filmmakers set out to make the first 3D found footage horror movie, but find themselves in a found footage horror movie when the evil entity from their film escapes into their behind-the-scenes footage."
71255,The Dead the Damned and the Darkness,"To reach the sea, a soldier has to fight his way through zombie hordes as well attempt to help other survivors along the way."
71256,Darr @ the Mall,"During the inaugural party of one of the largest malls in Asia, a newly recruited security guard must work to stop a supernatural threat."
71261,Más negro que la noche,"Greta moves into her recently deceased aunt's mansion and starts throwing wild parties with her friends; however, what looks to be the best summer of their lives turns into a fight for their lives after Beker, her aunt's prized cat, drowns in the home's pool."
71262,The Drownsman,"After almost drowning in a lake, Madison finds herself bound to a life of fear. Unable to describe what happened to her during the moments she was underwater, she begins to develop ..."
71276,El sádico de Notre-Dame,An ex-priest escapes from an asylum and kills people in God's name. This is a re-edited Spanish-language version of
71280,Tape_13,Two young lovers travel across Germany. Somewhere in the volcanic Eifel Region they got lost and were never to be seen again.
71283,Extraordinary Tales,An animated anthology of five tales adapted from
71289,Scareycrows,Scareycrows is a comedy horror about a trainee hairdresser who discovers that her boyfriend is keeping a dark secret. Soon her world crashes around her as the quiet seaside town where she was born is overrun by homicidal scareycrows.
71298,Closer to God,"A genetic scientist successfully clones the first human being, a baby girl named Elizabeth, but his work is soon threatened by a dark secret, a secret that threatens to destroy everything and everyone precious to him."
71312,The Blue Elephant,"The story of Dr. Yehia, a psychotherapist at Al Abbasia hospital. He works in the department treating the criminally insane, only to find his best friend to be one of the patients. Trying ..."
71326,Tai hong tai hien,"An anthology film that depicts four supernatural Horror stories based on true crimes that include Comedy, Thriller, or Drama."
71333,How to Save Us,Brian Everett's younger brother Sam goes missing on the island of Tasmania during the middle of a mysterious quarantine forcing Brian to traverse across enemy lines to save his brother from an army of ghosts.
71337,Extinction - Sopravvissuti,"And suddenly, overnight, the world came to a halt. Two men, two survivors, one kid, and hatred that separates them. A place forgotten by everyone, including the creatures that inhabit the Earth... until now."
71339,Sonno Profondo,"After murdering a woman, a killer that is traumatized from his childhood memories, gets a mysterious envelope slipped under his door. The hunter becomes the prey when he finds out that the ..."
71344,Excess Flesh,"Obsessed with her sexy roommate, Jill violently imprisons Jennifer in their apartment in a twisted attempt to bring them closer together."
71359,Agoraphobia,"An agoraphobic inherits her father's house in a remote part of the Florida Keys. When weird things start happening, she discovers that there's something far more terrifying trapped inside the house with her."
71377,The House of Him,"A misogynistic masked killer prepares for the routine slaying of his 27th victim, Anna, in the comfort of his own home. As Anna struggles to break out of the role the killer has chosen for ..."
71387,The Unfolding,"An exciting and relevant new take on the Haunted House story. The Fall of 2016. A fearful world stands on the brink of nuclear catastrophe. A young researcher in psychical events, together ..."
71390,Sweet Home,"A young real estate broker is planning a romantic meeting with her boyfriend in an old apartment building. But the couple is forced to fight for their lives, when a group of murderers is trying to kill them."
71402,Prosper,"The rumored daughter of Sarah Good, the first witch to be tried and hung during the Salem Witch trials, lives and commands the spirit world at her fingertips. Irene, as she is known, must ..."
71405,Hanadama,"Transfer student Mizuki is bullied viciously by her classmates. Nevertheless, she is always able to keep her composure. Kirie, who is also tormented, is interested in Mizuki and longs for her. The two become very close, insanity ensues."
71410,Almost Mercy,Jackson and Emily aren't like the other kids. Two burgeoning sociopaths on the brink of total meltdown. Ticking time bombs seeking revenge. Who will unravel first?
71411,Flay,"After the death of her mother, an estranged daughter struggles to save her brother, and those around her from a malevolent faceless spirit."
71427,The Fear of Darkness,A brilliant young psychiatrist is forced to confront the dark creature that dwells deep within her own unconscious when she investigates the supernatural disappearance of a university student.
71428,Altar,"A young family moves to an isolated house which the wife has been hired to restore, only to discover that the previous owner is reputed to have murdered his wife."
71439,Qua tim máu,"Linh, the recipient of a heart transplant, begins having nightmares and visions leading to a house in the remote countryside. She begins to believe that the previous owner of the heart, a ..."
71442,Malevolence 3: Killer,Martin Bristol returns to where it all began: the home where he was kidnapped from. But he is not the boy who disappeared over 10 years ago. Tortured and abused at the hands of his ...
71443,Bloodsucking Bastards,A down on his luck cubicle worker and his slacker best friend discover their new boss is a vampire who is turning their coworkers into the un-dead.
71454,Pazuru,"High school student Azusa jumps off from the rooftop of a school building, but she survives. One month later, the school is taken over by group of people wearing bizarre masks. A pregnant ..."
71458,Naturaleza muerta,"In a town of Argentina, 'the country of barbecues', people linked to the cattle industry start to disappear. A journalist starts to investigate; soon she'll find out a dark secret."
71459,Boots on the Ground,"The story of five British soldiers trying to stay alive on the last night of the Afghan War, facing not just the Taliban, but also supernatural forces more terrifying than anything they've encountered before."
71471,The Intruders,"After the traumatic loss of her mother, a teenaged girl tries to uncover the dark secrets behind her new home, in spite of her father's disbelief."
71481,A Demon Within,"A skeptical, small town doctor is forced to confront his personal demons in order to save the life of a teenage girl who has become possessed in his family's old house."
71483,Walking with the Dead,"When a police officer wakes up in a hospital to find out he is in the middle of a zombie apocalypse, he will do anything to find his family, even sacrifice Twitter."
71492,Kids vs Monsters,"The six richest people in the world each have one thing still dragging them down.. their intolerable kids. Luckily, there is a mysterious entity that is happy to help. See, he has some ..."
71502,Evidence of a Haunting,Ghost hunters shoot a reality show fight for their lives in tunnels beneath an old Texas college.
71504,Deadtectives,"DeadTectives follows a team of hapless paranormal investigators on a reality TV series who go on a quest to Mexico's most haunted house in the pursuit of better ratings. However, when the ..."
71509,Housebound,"A young woman is forced to return to her childhood home after being placed under house arrest, where she suspects that something evil may be lurking."
71519,La cueva,"Five friends go unannounced on a vacation. Soon they discover a cave entrance, which they decide to explore."
71544,Moh ging,"A dutiful cop, guilt-ridden over saving the life of a gang leader, becomes obsessed with bringing down the crime syndicate of the man he saved."
71570,The Ballerina,"A man and his 9-year-old daughter disappear into the swampy Virginia backwoods. Haunted by tragedy and destitution, they must both face the painful past if they are to ever have a future."
71577,We Are Still Here,"In the cold, wintery fields of New England, a lonely old house wakes up every thirty years - and demands a sacrifice."
71582,Dead End,"While investigating a masked killer who opened fire at a local school, a reporter calls on the paranormal spirits that surround the investigation to uncover the truth."
71590,Unlisted Owner,The 'Owner House'after a family movies into a house is murdered by an unseen subject after the tragic events a groop of teens discovered that the house the murder took place is down the ...
71596,Don't Look in the Basement 2,"In 1972, the patients and doctors at Stephens Sanitarium were brutally murdered. Over forty years later, the only known survivor returns only to find the ghosts of the past have not been resting in peace."
71608,#Horror,Six preadolescent girls face a night of terror when the compulsive addiction of an online social media game turns a moment of cyber bullying into a night of insanity.
71610,Honeyspider,It's Halloween day in 1989 and college student Jackie Blue wants to enjoy a quiet birthday in the midst of a chaotic semester at school. Her friend Amber has other ideas and persuades ...
71615,Slay Belles,"It's Christmas Eve, and three cosplaying women come across the malevolent Christmas demon Krampus. The girls must team up with Santa Claus himself to battle the creature and save the world."
71623,Krampus: The Devil Returns,"Five years after the murder of his wife and disappearance of his daughter, former police officer Jeremy Duffin is brought back to help in the hunt for a yuletide monster that punishes ..."
71625,El incidente,"Two parallel stories about characters trapped in illogical endless spaces: two brothers and a detective locked on an infinite staircase, and a family locked on an infinite road - for a very long time."
71626,Eroddity(s),"This four story anthology offers a voyeuristic window into the lives of ten gay youths. Follow as they enter a world of the odd, the erotic and the supernatural."
71630,Blood Moon,"A stagecoach of travelers, a gunslinger and two outlaws arrive in a deserted mining town lit by the glow of a reddish full moon. As their worlds collide, they are hunted by a beast that only appears on the night of a blood moon."
71638,Haunted,"An aspiring writer pays a visit to his sister to look after her house while she is out of town, but what he finds there is more terrifying than any of the stories he writes."
71642,FPS: First Person Shooter,"Your pregnant wife Linda has been captured by a ruthless scientist, who created a devastating virus. To rescue her, you have to fight through the old rotten experimental clinic, armed to ..."
71649,Gang of Ghosts,A story about a group of ghosts who have lost their shelter due to urbanization. The story starts with a struggling wannabe director who somehow crosses paths with a stranger. The stranger ...
71653,Creepers,"One dark and stormy night the tax man pays a visit to an eccentric horror fan who keeps the unwelcome guest distracted by telling him 4 tales of terror from the stories of Joe R. Lansdale, Edgar Allan Poe, Lafcadio Hearn and Jeff Strand."
